fire_company,fire_company_address,fire_company_zipcode
E207,172 Tillary Street,11201
E226,409 State Street,11217
E205,74 Middagh Street,11201
E224,274 Hicks Street,11201
E279,252 Lorraine Street,11231
E202,31 Richards Street,11231
E228,436 39th Street,11232
E201,5113-5117 4th Avenue,11220
S1,788 Union Street,11215
E239,395 4th Avenue,11215
E220,530-532 11th Street,11215
L105,494 Dean Street,11217
E280,489-91 Saint John's Place,11238
R2,1472 Bergen Street,11213
E234,1352 Saint John's Place,11213
E227,423-25 Ralph Avenue,11233
E233,25 Rockaway Avenue,11233
E217,940 Dekalb Avenue,11221
E222,32 Ralph Avenue,11221
E214,495 Hancock Street,11233
E230,701 Park Avenue,11206
E235,206 Monroe Street,11216
L102,850-56 Bedford Avenue,11205
M6,Building 292 Brooklyn Navy Yard,11205
E210,160 Carlton Avenue,11205
E211,26 Hooper Street,11249
E221,161 South 2nd Street,11211
E216,187 Union Avenue,11211
E238,205 Greenpoint Avenue,11222
E229,75-77 Richardson Street,11211
E206,1201 Grand Street,11211
E237,43 Morgan Avenue,11237
E218,650 Hart Street,11221
E271,392 Himrod Street,11237
E277,582 Knickerbocker Avenue,11221
S252,617 Central Avenue,11207
E231,107 Watkins Street,11212
E283,885 Howard Avenue,11212
E332,165 Bradford Street,11207
E290,480 Sheffield Avenue,11207
E236,998 Liberty Avenue,11208
E225,799 Lincoln Avenue,11208
E310,5105 Snyder Avenue,11203
E249,491 Rogers Avenue,11225
E248,2900 Snyder Avenue,11226
E281,1210 Cortelyou Road,11218
E255,1367 Rogers Avenue,11210
E240,1307 Prospect Avenue,11218
E282,4210-12 12th Avenue,11219
E247,1336 60th Street,11219
E241,6630 3rd Avenue,11220
E242,9219 5th Avenue,11209
E284,1157 79th Street,11228
E243,8653 18th Avenue,11214
E250,126 Foster Avenue,11230
E330,2312 65th Street,11204
E276,1635 East 14th Street,11229
E253,2429 86th Street,11214
E318,2510-14 Neptune Avenue,11224
E254,901 Avenue U,11223
E245,2929 West 8th Street,11224
E257,1361 Rockaway Parkway,11236
E323,6405 Avenue N,11234
E309,1851 East 48th Street,11234
E246,2732 East 11th Street,11235
E321,2165 Gerritsen Avenue,11229
